window_id,trade_type,side,entry_price,entry_time,reversal_score,won,gross_pnl,fee,net_pnl
25_12_07_15_00_15_15,directional,UP,93,435.8,-1,True,0.7000,0.011392,0.6886
25_12_07_17_00_17_15,fullset,BOTH,96,18.8,0,True,0.8000,0.547880,0.2521
25_12_07_18_00_18_15,directional,UP,94,237.8,-1,True,0.6000,0.008460,0.5915
25_12_07_20_00_20_15,fullset,BOTH,98,529.6,0,True,0.4000,0.330905,0.0691
25_12_07_21_00_21_15,directional,DOWN,94,393.1,-1,True,0.6000,0.008460,0.5915
25_12_07_23_00_23_15,fullset,BOTH,98,140.6,0,True,0.4000,0.636980,-0.2370
25_12_08_00_00_00_15,directional,DOWN,92,495.7,-1,True,0.8000,0.014720,0.7853
25_12_08_03_00_03_15,directional,DOWN,94,559.2,-1,True,0.6000,0.008460,0.5915
25_12_08_09_00_09_15,fullset,BOTH,98,14.5,0,True,0.4000,0.615780,-0.2158
25_12_08_12_00_12_15,fullset,BOTH,98,158.7,0,True,0.4000,0.471620,-0.0716
25_12_08_13_00_13_15,fullset,BOTH,98,349.8,0,True,0.4000,0.636980,-0.2370
25_12_08_16_00_16_15,fullset,BOTH,97,516.7,0,True,0.6000,0.637652,-0.0377
25_12_08_17_00_17_15,fullset,BOTH,98,351.1,0,True,0.4000,0.569405,-0.1694
25_12_08_19_00_19_15,directional,UP,95,551.4,-1,True,0.5000,0.005938,0.4941
25_12_09_00_00_00_15,fullset,BOTH,98,64.1,0,True,0.4000,0.630620,-0.2306
25_12_09_01_00_01_15,fullset,BOTH,97,122.6,0,True,0.6000,0.607133,-0.0071
25_12_09_05_00_05_15,fullset,BOTH,98,76.8,0,True,0.4000,0.630620,-0.2306
25_12_09_07_00_07_15,fullset,BOTH,98,560.2,0,True,0.4000,0.630620,-0.2306
25_12_09_08_00_08_15,fullset,BOTH,92,490.9,0,True,1.6000,0.669440,0.9306
25_12_09_09_00_09_15,fullset,BOTH,98,24.5,0,True,0.4000,0.636185,-0.2362
25_12_09_11_00_11_15,fullset,BOTH,97,369.8,0,True,0.6000,0.634928,-0.0349
25_12_09_12_00_12_15,fullset,BOTH,98,56.1,0,True,0.4000,0.630620,-0.2306
25_12_09_13_00_13_15,fullset,BOTH,98,24.5,0,True,0.4000,0.624260,-0.2243
25_12_09_14_00_14_15,fullset,BOTH,97,50.5,0,True,0.6000,0.585877,0.0141
25_12_09_16_00_16_15,fullset,BOTH,98,27.4,0,True,0.4000,0.592460,-0.1925
25_12_09_18_00_18_15,fullset,BOTH,98,189.3,0,True,0.4000,0.531245,-0.1312
25_12_10_04_00_04_15,fullset,BOTH,98,24.1,0,True,0.4000,0.634860,-0.2349
25_12_10_07_00_07_15,directional,DOWN,95,537.7,-1,True,0.5000,0.005938,0.4941
25_12_10_09_00_09_15,fullset,BOTH,98,316.8,0,True,0.4000,0.605180,-0.2052
25_12_10_10_00_10_15,fullset,BOTH,98,495.8,0,True,0.4000,0.520380,-0.1204
25_12_10_11_00_11_15,fullset,BOTH,98,16.8,0,True,0.4000,0.620285,-0.2203
25_12_10_13_00_13_15,fullset,BOTH,98,210.6,0,True,0.4000,0.599085,-0.1991
25_12_10_15_00_15_15,fullset,BOTH,97,74.0,0,True,0.6000,0.639833,-0.0398
25_12_10_17_00_17_15,fullset,BOTH,97,540.9,0,True,0.6000,0.639833,-0.0398
25_12_10_18_00_18_15,fullset,BOTH,97,305.6,0,True,0.6000,0.627842,-0.0278
25_12_10_19_00_19_15,fullset,BOTH,98,115.9,0,True,0.4000,0.585305,-0.1853
25_12_10_23_00_23_15,fullset,BOTH,98,26.2,0,True,0.4000,0.636185,-0.2362
25_12_11_08_00_08_15,fullset,BOTH,97,176.3,0,True,0.6000,0.528652,0.0713
25_12_11_09_00_09_15,fullset,BOTH,98,313.7,0,True,0.4000,0.599085,-0.1991
25_12_11_10_00_10_15,fullset,BOTH,97,218.4,0,True,0.6000,0.517208,0.0828
25_12_11_12_00_12_15,fullset,BOTH,98,16.3,0,True,0.4000,0.627705,-0.2277
25_12_11_17_00_17_15,fullset,BOTH,98,182.1,0,True,0.4000,0.627705,-0.2277
25_12_11_19_00_19_15,fullset,BOTH,98,569.7,0,True,0.4000,0.615780,-0.2158
25_12_11_20_00_20_15,fullset,BOTH,98,154.2,0,True,0.4000,0.429485,-0.0295
25_12_11_21_00_21_15,fullset,BOTH,98,16.6,0,True,0.4000,0.634860,-0.2349
25_12_12_02_00_02_15,fullset,BOTH,97,239.9,0,True,0.6000,0.421833,0.1782
25_12_12_03_00_03_15,fullset,BOTH,97,14.7,0,True,0.6000,0.639833,-0.0398
25_12_12_08_00_08_15,fullset,BOTH,95,225.9,0,True,1.0000,0.652813,0.3472
25_12_12_09_00_09_15,fullset,BOTH,98,354.4,0,True,0.4000,0.497060,-0.0971
25_12_12_10_00_10_15,fullset,BOTH,97,69.4,0,True,0.6000,0.618578,-0.0186
25_12_12_12_00_12_15,directional,DOWN,93,392.5,-1,True,0.7000,0.011392,0.6886
25_12_12_13_00_13_15,fullset,BOTH,97,321.4,0,True,0.6000,0.437092,0.1629
25_12_12_18_00_18_15,fullset,BOTH,98,505.5,0,True,0.4000,0.615780,-0.2158
25_12_13_02_00_02_15,fullset,BOTH,96,335.6,0,True,0.8000,0.525480,0.2745
25_12_13_03_00_03_15,fullset,BOTH,97,530.1,0,True,0.6000,0.593507,0.0065
25_12_13_07_00_07_15,fullset,BOTH,97,164.6,0,True,0.6000,0.600592,-0.0006
25_12_13_08_00_08_15,fullset,BOTH,98,342.8,0,True,0.4000,0.633005,-0.2330
25_12_13_09_00_09_15,fullset,BOTH,96,230.5,0,True,0.8000,0.577280,0.2227
25_12_13_18_00_18_15,directional,UP,96,517.6,-1,True,0.4000,0.003840,0.3962
25_12_13_21_00_21_15,directional,DOWN,92,365.4,-1,True,0.8000,0.014720,0.7853
25_12_13_21_00_21_15,fullset,BOTH,98,365.9,0,True,0.4000,0.191780,0.2082
25_12_13_23_00_23_15,fullset,BOTH,96,184.5,0,True,0.8000,0.585960,0.2140
25_12_14_00_00_00_15,directional,DOWN,92,215.4,-1,False,-9.2000,0.014720,-9.2147
25_12_14_01_00_01_15,fullset,BOTH,98,133.4,0,True,0.4000,0.429485,-0.0295
25_12_14_03_00_03_15,fullset,BOTH,98,362.1,0,True,0.4000,0.620285,-0.2203
25_12_14_04_00_04_15,fullset,BOTH,96,345.3,0,True,0.8000,0.344040,0.4560
25_12_14_06_00_06_15,fullset,BOTH,90,144.1,0,True,2.0000,0.607500,1.3925
25_12_14_07_00_07_15,fullset,BOTH,95,246.2,0,True,1.0000,0.648787,0.3512
25_12_14_09_00_09_15,fullset,BOTH,90,12.9,0,True,2.0000,0.648125,1.3519
25_12_14_10_00_10_15,fullset,BOTH,97,131.3,0,True,0.6000,0.613127,-0.0131
25_12_14_16_00_16_15,fullset,BOTH,96,122.9,0,True,0.8000,0.646440,0.1536
25_12_14_18_00_18_15,fullset,BOTH,98,105.4,0,True,0.4000,0.627705,-0.2277
25_12_14_19_00_19_15,fullset,BOTH,98,94.6,0,True,0.4000,0.520380,-0.1204
25_12_14_20_00_20_15,fullset,BOTH,97,476.2,0,True,0.6000,0.451807,0.1482
25_12_15_04_00_04_15,fullset,BOTH,97,37.8,0,True,0.6000,0.623483,-0.0235
25_12_15_09_00_09_15,directional,UP,93,560.1,-1,True,0.7000,0.011392,0.6886
25_12_15_10_00_10_15,fullset,BOTH,98,458.7,0,True,0.4000,0.398745,0.0013
25_12_15_11_00_11_15,fullset,BOTH,97,81.6,0,True,0.6000,0.627842,-0.0278
25_12_15_13_00_13_15,directional,DOWN,93,322.3,-1,True,0.7000,0.011392,0.6886
25_12_15_15_00_15_15,fullset,BOTH,98,497.2,0,True,0.4000,0.624260,-0.2243
25_12_15_16_00_16_15,fullset,BOTH,98,424.5,0,True,0.4000,0.624260,-0.2243
25_12_15_17_00_17_15,fullset,BOTH,98,89.4,0,True,0.4000,0.615780,-0.2158
25_12_16_02_00_02_15,fullset,BOTH,97,197.4,0,True,0.6000,0.643103,-0.0431
25_12_16_03_00_03_15,fullset,BOTH,98,109.5,0,True,0.4000,0.599085,-0.1991
25_12_16_05_00_05_15,fullset,BOTH,98,69.3,0,True,0.4000,0.630620,-0.2306
25_12_16_08_00_08_15,directional,UP,92,537.1,-1,True,0.8000,0.014720,0.7853
25_12_16_15_00_15_15,fullset,BOTH,98,125.1,0,True,0.4000,0.636185,-0.2362
25_12_16_18_00_18_15,fullset,BOTH,98,75.2,0,True,0.4000,0.634860,-0.2349
25_12_16_23_00_23_15,fullset,BOTH,98,165.0,0,True,0.4000,0.637245,-0.2372
25_12_17_00_00_00_15,directional,DOWN,93,245.0,-1,True,0.7000,0.011392,0.6886
25_12_17_02_00_02_15,directional,DOWN,94,541.4,-1,True,0.6000,0.008460,0.5915
25_12_17_06_00_06_15,directional,UP,92,557.0,-1,True,0.8000,0.014720,0.7853
25_12_17_07_00_07_15,fullset,BOTH,97,369.9,0,True,0.6000,0.528652,0.0713
25_12_17_09_00_09_15,fullset,BOTH,98,124.7,0,True,0.4000,0.560660,-0.1607
