window_id,side,buy_price,buy_time,sell_price,sell_time,pnl_cents
25_11_02_08_00_08_15,DOWN,46,2.886,32,33.157,-14
25_11_02_08_00_08_15,DOWN,73,420.618,71,476.834,-2
25_11_02_08_00_08_15,UP,15,591.585,9,623.855,-6
25_11_02_08_00_08_15,UP,6,632.549,2,664.265,-4
25_11_02_10_00_10_15,UP,66,202.764,37,232.783,-29
25_11_02_10_00_10_15,UP,42,289.105,17,319.207,-25
25_11_02_10_00_10_15,DOWN,57,465.423,42,495.623,-15
25_11_02_10_00_10_15,DOWN,40,612.029,26,642.555,-14
25_11_02_10_00_10_15,DOWN,16,680.203,2,711.662,-14
25_11_02_12_00_12_15,DOWN,44,12.898,40,43.213,-4
25_11_02_12_00_12_15,UP,64,51.212,50,81.35,-14
25_11_02_13_00_13_15,UP,43,254.227,28,284.252,-15
25_11_02_13_00_13_15,UP,22,301.222,15,331.703,-7
25_11_02_14_00_14_15,UP,47,2.002,40,34.185,-7
25_11_02_14_00_14_15,DOWN,58,181.104,38,211.177,-20
25_11_02_14_00_14_15,DOWN,28,407.674,20,437.949,-8
25_11_02_14_00_14_15,DOWN,18,507.719,11,537.812,-7
25_11_02_14_00_14_15,UP,92,649.16,45,679.179,-47
25_11_02_15_00_15_15,UP,32,117.794,22,147.966,-10
25_11_02_15_00_15_15,DOWN,75,156.037,64,186.464,-11
25_11_02_15_00_15_15,DOWN,86,555.827,73,586.451,-13
25_11_02_15_00_15_15,UP,52,634.477,25,665.01,-27
25_11_02_15_00_15_15,UP,13,710.181,5,740.257,-8
25_11_02_15_00_15_15,UP,6,865.941,0,885.204,-6
25_11_02_16_00_16_15,UP,31,32.804,26,62.946,-5
25_11_02_17_00_17_15,DOWN,31,360.926,21,391.843,-10
25_11_02_18_00_18_15,UP,55,241.347,39,271.95,-16
25_11_02_18_00_18_15,DOWN,39,333.944,31,367.014,-8
25_11_02_18_00_18_15,DOWN,23,440.971,16,473.053,-7
25_11_02_18_00_18_15,DOWN,20,597.139,10,627.46,-10
25_11_02_18_00_18_15,UP,87,790.781,64,821.053,-23
25_11_02_18_00_18_15,UP,67,867.035,24,897.101,-43
25_11_02_19_00_19_15,DOWN,60,141.94,56,177.71,-4
25_11_02_19_00_19_15,DOWN,93,663.175,91,699.593,-2
25_11_02_20_00_20_15,UP,39,109.604,35,141.66,-4
25_11_02_20_00_20_15,DOWN,60,221.424,47,251.581,-13
25_11_02_20_00_20_15,UP,59,304.81,41,342.17,-18
25_11_02_20_00_20_15,DOWN,53,362.457,45,392.522,-8
25_11_02_20_00_20_15,UP,53,423.486,43,454.338,-10
25_11_02_20_00_20_15,UP,25,640.941,3,671.196,-22
25_11_02_20_15_20_30,UP,53,900.933,51,900.933,-2
25_11_02_21_00_21_15,DOWN,45,114.636,34,145.341,-11
25_11_02_21_00_21_15,UP,61,303.99,55,336.396,-6
25_11_02_21_00_21_15,UP,55,542.481,47,572.586,-8
25_11_02_21_00_21_15,UP,43,573.096,12,603.618,-31
25_11_02_22_00_22_15,DOWN,51,373.863,47,406.473,-4
25_11_02_22_00_22_15,DOWN,39,510.493,36,541.89,-3
25_11_02_22_00_22_15,UP,66,821.991,40,829.117,-26
25_11_02_23_00_23_15,DOWN,28,14.807,27,44.815,-1
25_11_02_23_00_23_15,DOWN,29,61.998,12,92.029,-17
25_11_03_00_00_00_15,DOWN,52,152.59,41,182.824,-11
25_11_03_00_00_00_15,DOWN,32,306.967,23,336.995,-9
25_11_03_00_00_00_15,DOWN,3,829.921,0,848.089,-3
25_11_03_00_15_00_30,DOWN,54,900.514,52,900.858,-2
25_11_03_01_00_01_15,UP,38,4.315,22,34.56,-16
25_11_03_01_00_01_15,UP,28,141.565,10,171.608,-18
25_11_03_01_00_01_15,UP,9,447.813,3,477.919,-6
25_11_03_01_00_01_15,DOWN,67,542.27,50,572.487,-17
25_11_03_01_00_01_15,DOWN,51,572.907,34,603.148,-17
25_11_03_01_00_01_15,UP,68,844.81,24,874.884,-44
25_11_03_01_00_01_15,UP,2,898.94,0,898.94,-2
25_11_03_02_00_02_15,UP,55,91.446,48,121.537,-7
25_11_03_02_00_02_15,DOWN,89,493.496,71,523.636,-18
25_11_03_02_00_02_15,DOWN,71,524.028,57,554.184,-14
25_11_03_02_00_02_15,UP,37,576.803,24,606.973,-13
25_11_03_02_00_02_15,DOWN,85,777.672,6,807.863,-79
25_11_03_04_00_04_15,UP,35,244.285,20,274.536,-15
25_11_03_04_00_04_15,UP,12,665.404,1,695.562,-11
25_11_03_05_00_05_15,DOWN,43,196.485,36,226.51,-7
25_11_03_05_00_05_15,UP,85,518.997,70,549.807,-15
25_11_03_05_00_05_15,DOWN,31,629.893,16,660.035,-15
25_11_03_05_00_05_15,UP,49,695.839,40,725.926,-9
25_11_03_05_00_05_15,DOWN,78,766.811,49,797.131,-29
25_11_03_05_00_05_15,DOWN,51,810.258,15,840.28,-36
25_11_03_05_00_05_15,DOWN,19,840.346,0,854.593,-19
25_11_03_06_00_06_15,DOWN,51,29.446,35,59.519,-16
25_11_03_06_00_06_15,DOWN,40,85.682,29,115.709,-11
25_11_03_06_00_06_15,DOWN,34,293.631,22,326.388,-12
25_11_03_06_00_06_15,UP,34,643.441,15,674.176,-19
25_11_03_06_00_06_15,UP,18,677.866,0,707.919,-18
25_11_03_07_00_07_15,UP,31,820.304,20,850.34,-11
25_11_03_07_00_07_15,UP,18,852.681,0,873.928,-18
25_11_03_07_15_07_30,UP,50,900.77,48,900.884,-2
25_11_03_08_00_08_15,DOWN,36,386.248,18,417.052,-18
25_11_03_08_00_08_15,UP,78,421.627,70,492.396,-8
25_11_03_08_00_08_15,DOWN,20,510.715,10,540.753,-10
25_11_03_08_00_08_15,DOWN,5,608.031,0,642.682,-5
25_11_03_09_00_09_15,DOWN,34,245.115,22,275.246,-12
25_11_03_10_00_10_15,UP,81,249.777,70,279.991,-11
25_11_03_10_15_10_30,UP,52,900.641,49,900.641,-3
25_11_03_11_00_11_15,DOWN,40,21.446,34,51.461,-6
25_11_03_11_00_11_15,DOWN,25,159.387,18,189.815,-7
25_11_03_11_00_11_15,DOWN,12,207.348,4,237.478,-8
25_11_03_12_00_12_15,DOWN,54,0.913,45,31.159,-9
25_11_03_12_00_12_15,DOWN,38,195.144,28,225.36,-10
25_11_03_12_00_12_15,UP,60,329.891,53,360.4,-7
25_11_03_12_00_12_15,DOWN,42,365.456,22,395.598,-20
25_11_03_13_00_13_15,UP,12,649.462,2,680.003,-10
25_11_03_13_00_13_15,UP,19,845.782,0,868.065,-19
25_11_03_14_00_14_15,DOWN,36,41.544,38,72.024,2
25_11_03_15_00_15_15,UP,53,33.225,32,63.5,-21
25_11_03_15_00_15_15,UP,40,146.565,30,176.728,-10
25_11_03_16_00_16_15,UP,41,383.727,23,413.731,-18
25_11_03_16_00_16_15,UP,33,432.881,19,462.983,-14
25_11_03_16_00_16_15,DOWN,79,628.557,67,658.734,-12
25_11_03_16_00_16_15,DOWN,57,697.611,28,727.752,-29
25_11_03_16_00_16_15,DOWN,8,806.809,0,824.441,-8
25_11_03_17_00_17_15,UP,45,235.397,34,265.624,-11
25_11_03_17_00_17_15,DOWN,69,283.26,40,313.421,-29
25_11_03_17_00_17_15,DOWN,25,646.434,4,679.695,-21
25_11_03_18_00_18_15,UP,44,33.48,25,64.809,-19
25_11_03_18_00_18_15,UP,32,433.147,22,463.179,-10
