episode_id,market_id,window_id,start_ts,end_ts,total_trades,net_up,net_down,matched_shares,avg_cost_matched,has_merge,has_redeem,merge_delay_s,label,confidence,realized_pnl,realized_via,is_realized
0x4dfefd752d771b1afe_2026-01-06T02:30:07,0x4dfefd752d771b1afe108061f8bbfbdb150d36ea4b77a89fc303025a670461f8,,2026-01-06T02:30:07,2026-01-06T02:50:53,6,160.01999999999998,324.0,160.01999999999998,1.041418572678415,False,False,,UNKNOWN,0.0,,,False
0x5cce9567aebeaf6b28_2026-01-06T02:30:07,0x5cce9567aebeaf6b28ee69dc359577bed9cb04703a172d9c4e5848763a475922,btc-updown-15m-1767646800,2026-01-06T02:30:07,2026-01-06T02:38:39,12,779.53,866.22,779.53,0.9809787400280972,False,False,,FULL_SET_ARB,0.7,,,False
0xa7df0f76d928f2a118_2026-01-06T02:30:09,0xa7df0f76d928f2a118757e975a88b8c6a1e8aeb32cbb57c37c69768406004a4f,,2026-01-06T02:30:09,2026-01-06T02:56:41,11,423.0,1017.71,423.0,1.1210047986332268,False,False,,UNKNOWN,0.0,,,False
0x2f00f330402a14ee0d_2026-01-06T02:30:11,0x2f00f330402a14ee0d137ea62f74ab4085023fb9191882f1a53f1162f4b71e9f,,2026-01-06T02:30:11,2026-01-06T02:34:07,6,1014.1099999999999,0.0,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0x15b503a98cd5166638_2026-01-06T02:31:31,0x15b503a98cd5166638652a02f80f83bccfe3fde3ed394bcbc94edace502fc5eb,,2026-01-06T02:31:31,2026-01-06T02:55:31,12,1658.15,10.8,10.8,1.104779000693544,False,False,,UNKNOWN,0.0,,,False
0xce01fcb2538ec0d172_2026-01-06T02:45:43,0xce01fcb2538ec0d1723f3eb7245a204c07cbdd755e4d8a3dde7bc5971247118f,,2026-01-06T02:45:43,2026-01-06T02:57:59,9,121.0,278.13,121.0,0.8448603171178946,False,False,,FULL_SET_ARB,0.3,,,False
0x0d08b5889c466e17c0_2026-01-06T02:45:53,0x0d08b5889c466e17c0084c3e8ad093b2803eda30736e726abd88309d56f3a482,btc-updown-15m-1767647700,2026-01-06T02:45:53,2026-01-06T02:56:41,6,312.19,164.14000000000001,164.14000000000001,1.0406472975108696,False,False,,UNKNOWN,0.0,,,False
0x2f00f330402a14ee0d_2026-01-06T02:59:25,0x2f00f330402a14ee0d137ea62f74ab4085023fb9191882f1a53f1162f4b71e9f,,2026-01-06T02:59:25,2026-01-06T02:59:25,1,0.0,251.0,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.5,,,False
0x1e275f29aa0d014076_2026-01-06T03:00:15,0x1e275f29aa0d0140767795a0a1ee825a80122fed4ee46d175003636c6e27e6f2,,2026-01-06T03:00:15,2026-01-06T03:03:19,4,36.82,198.25,36.82,0.5950623770046571,False,False,,FULL_SET_ARB,0.3,,,False
0x4dfefd752d771b1afe_2026-01-06T03:08:45,0x4dfefd752d771b1afe108061f8bbfbdb150d36ea4b77a89fc303025a670461f8,,2026-01-06T03:08:45,2026-01-06T03:08:45,1,24.95,0.0,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.3,,,False
0x2f00f330402a14ee0d_2026-01-06T03:15:45,0x2f00f330402a14ee0d137ea62f74ab4085023fb9191882f1a53f1162f4b71e9f,,2026-01-06T03:15:45,2026-01-06T03:18:25,2,0.0,440.08000000000004,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.5,,,False
0xa7df0f76d928f2a118_2026-01-06T03:17:11,0xa7df0f76d928f2a118757e975a88b8c6a1e8aeb32cbb57c37c69768406004a4f,,2026-01-06T03:17:11,2026-01-06T03:26:53,29,1777.41,1176.25,1176.25,1.0164694442225966,False,False,,MARKET_MAKING,0.30000000000000004,,,False
0x4dfefd752d771b1afe_2026-01-06T03:20:31,0x4dfefd752d771b1afe108061f8bbfbdb150d36ea4b77a89fc303025a670461f8,,2026-01-06T03:20:31,2026-01-06T03:25:15,18,132.57999999999998,1517.5,132.57999999999998,1.074079547721397,False,False,,UNKNOWN,0.0,,,False
0x337d4c2746a830d4a3_2026-01-06T03:23:33,0x337d4c2746a830d4a34c45dfe58b171ff8a49c21f6511d42a829a23ff390051b,,2026-01-06T03:23:33,2026-01-06T03:25:17,7,37.71,499.0,37.71,0.8111683775931604,False,False,,FULL_SET_ARB,0.3,,,False
0xb50c46337dbc4b866a_2026-01-06T03:23:33,0xb50c46337dbc4b866acfe5c6825b70cd222e64908d8ec7538e318113a8bf7668,,2026-01-06T03:23:33,2026-01-06T03:28:57,11,276.0,1077.2,276.0,0.7723594759898179,False,False,,FULL_SET_ARB,0.3,,,False
0x0bd600f1ace6642a85_2026-01-06T03:31:01,0x0bd600f1ace6642a85e3dae531e3cdae95ca8dbca683f8c8a4e8a1bcbb32b5b3,,2026-01-06T03:31:01,2026-01-06T03:34:45,5,0.0,545.0,0,0.0,False,False,,DIRECTIONAL_SPIKE,0.5,,,False
0x5a39f23454a569d081_2026-01-06T03:32:27,0x5a39f23454a569d081b8c9722de8acb0eb9305fd7c73974294b82d0b515ec7d6,,2026-01-06T03:32:27,2026-01-06T03:43:03,11,321.46,404.4,321.46,1.0204042328390075,False,False,,FULL_SET_ARB,0.4,,,False
